"source","title","author","genre","price_usd","rating","ratings_count","year","language","scraped_at","snapshot_id"
"Open Library","Under the Greenwood Tree or, The Mellstock quire","Thomas Hardy","romance",NA,3.52,4,1872,"eng",2025-11-01 09:00:00,1
"iTunes Store","DK Prague","DK Travel","travel",11.43,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","In The Attic","Garry Rodgers","true crime",0,3.99,101,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Relentless","Tim S Grover","sports outdoors",13.71,4.49,1276,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Woman in White","Wilkie Collins","thriller",NA,4.15,20,1859,"chi",2025-11-01 09:00:00,1
"iTunes Store","Rory","Alan Shipnuck","sports outdoors",17.57,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Murder of Laci Peterson An Anthology of True Crime","Pete Dove","true crime",5,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","No Way Out (A Carly See FBI Suspense Thriller—Book 1)","Rylie Dark","mystery thriller",0,4.52,1274,NA,NA,2025-11-01 09:00:00,1
"Open Library","Sonnenfinsternis","Arthur Koestler","history",NA,4.21,15,1940,"gre",2025-11-01 09:00:00,1
"iTunes Store","Bertie Bear's Big Adventure","Peter Fogarty","adventure",0,4.86,7,NA,NA,2025-11-01 09:00:00,1
"Open Library","De consolatione philosophiae","Boethius","poetry",NA,3.3,10,1483,"mul",2025-11-01 09:00:00,1
"iTunes Store","Finance","Little Green Apples Publishing, LLC™","business finance",4.78,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Anger Management in Relationships for Men and Women: The Anger Management Self-Help Guide for Self Control and Avoiding the Anger Trap","Patty Morgan","self help",4.03,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","When the Sleeper Awakes","H. G. Wells","fantasy",NA,3.59,11,1899,"ger",2025-11-01 09:00:00,1
"iTunes Store","School and Home Cooking","Carlotta Cherryholmes Greer","cooking",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","You are a badass at making money","Jen Sincero","self_help",NA,5,2,2014,"eng",2025-11-01 09:00:00,1
"Open Library","The Silver Chair","C. S. Lewis","travel",NA,4.06,31,1953,"pol",2025-11-01 09:00:00,1
"Open Library","The most dangerous game","Richard Connell","travel",NA,3.85,21,1990,"eng",2025-11-01 09:00:00,1
"Open Library","History of the Decline and Fall of the Roman Empire Complete and Unabridged","Edward Gibbon","history",NA,4.38,8,1776,"spa",2025-11-01 09:00:00,1
"iTunes Store","The Black Experience in Design","Anne H. Berry, Kareem Collie, Penina Acayo Laker, Lesley-Ann Noel, Jennifer Rittner & Kelly Walters","art design",15.36,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Jewel of Seven Stars","Bram Stoker","history",NA,4.57,6,1902,"ger",2025-11-01 09:00:00,1
"Open Library","The Black Cat","Edgar Allan Poe","thriller",NA,4.22,19,1914,"spa",2025-11-01 09:00:00,1
"iTunes Store","Mail Order Bliss (Sweet Mail Order Bride Historical Romance Novel)","Amy Blakelear","romance novel",2.91,4.37,20,NA,NA,2025-11-01 09:00:00,1
"Open Library","One Flew Over the Cuckoo's Nest","Ken Kesey","psychology",NA,4.03,29,1962,"rum",2025-11-01 09:00:00,1
"Open Library","À rebours","Joris-Karl Huysmans","philosophy",NA,4.52,10,1884,"ger",2025-11-01 09:00:00,1
"Open Library","The Phoenix and the Carpet","Edith Nesbit","children",NA,3.18,10,1903,"eng",2025-11-01 09:00:00,1
"iTunes Store","Chronic Pain: a Self-Help Guide","Steven W. Pollard","self help",9.95,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","One Thousand White Women","Jim Fergus","historical fiction",12.9,4.46,1132,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Power of Your Subconscious Mind","Joseph Murphy","business",NA,3.88,290,1963,"mal",2025-11-01 09:00:00,1
"Google Books","The Ultimate Guide to Weight Training for Swimming","Rob Price","Health & Fitness",NA,NA,NA,2014,"en",2025-11-01 09:00:00,1
"Open Library","Lord of the Flies","William Golding","psychology",NA,3.56,381,1954,"por",2025-11-01 09:00:00,1
"Open Library","The Jewel of Seven Stars","Bram Stoker","horror",NA,4.55,6,1902,"ger",2025-11-01 09:00:00,1
"Google Books","Housewives Favorite Recipes for Cold Dishes, Dainties, Chilled Drinks, Etc",NA,"Beverages",NA,NA,NA,1916,"en",2025-11-01 09:00:00,1
"Open Library","A Child's Garden of Verses","Robert Louis Stevenson","poetry",NA,3.85,5,1885,"eng",2025-11-01 09:00:00,1
"iTunes Store","Ezra Pound: His Metric and Poetry","Thomas Stearns Eliot","poetry",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","7 Financial Models for Analysts, Investors and Finance Professionals","Paul Lower","business finance",33.07,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","My Song Lyrics: Not a How to Book, But 50 Great Lyrics to Inspire and Entertain Songwriters, Poets, Lyricists, Poetry Lovers, and You (Volume 1)","James Goi Jr.","poetry",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Road","Cormac McCarthy","horror",NA,3.79,159,2006,"fre",2025-11-01 09:00:00,1
"iTunes Store","A Magnolia Adventure","Anne-Marie Meyer","adventure",8.63,4.38,44,NA,NA,2025-11-01 09:00:00,1
"Open Library","Frankenstein or The Modern Prometheus","Mary Shelley","horror",NA,4.02,216,1818,"rus",2025-11-01 09:00:00,1
"iTunes Store","Twist and Turns","W.J. May","fantasy",0,3.89,292,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The No-Nonsense Guide to World History","Chris Brazier","world history",14.46,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Pirates of Savannah Trilogy: Book One, Sold in Savannah - Young Adult Action Adventure Historical Fiction","Tarrin P. Lupo","historical fiction",0,3.98,463,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","A War For Magic: A Free Epic Fantasy Romance","Michelle Bryan & M. Lynn","fantasy",0,3.92,197,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Accounting & Finance in 4 Weeks","Roger Mason & Roger Mason Ltd","business finance",2.92,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Age of Fable","Thomas Bulfinch","art",NA,2.94,4,1800,"fre",2025-11-01 09:00:00,1
"Google Books","Middlemarch","George Eliot","Fiction",NA,NA,NA,1964,"en",2025-11-01 09:00:00,1
"Open Library","Ben Hur","Lew Wallace","biography",NA,3.65,7,1800,"yid",2025-11-01 09:00:00,1
"iTunes Store","Greece Travel Guide","Wolfgang Sladkowski & Wanirat Chanapote","travel",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Kidnapped","Robert Louis Stevenson","mystery",NA,3.84,18,1886,"per",2025-11-01 09:00:00,1
"Open Library","Island of the Blue Dolphins","Scott O’Dell","art",NA,4.09,52,1960,"kor",2025-11-01 09:00:00,1
"Open Library","Sult","Knut Hamsun","history",NA,3.85,16,1890,"fre",2025-11-01 09:00:00,1
"iTunes Store","The Devil's Angel: A Paranormal Vampire Romance Novel","Raven Steele","romance novel",4.88,4.45,80,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Complete Poetry","Maya Angelou","poetry",2.97,4.52,33,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Shadow Gambit: LitRPG Adventure Fantasy","Adam Drake","adventure",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Kyoto (Japan) - Wink Travel Guide","Wink Travel guide","travel",3,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Cooking and the Crown","Tom Parker Bowles","cooking",7.71,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Glimpses of World History - (Part-1)","Jawaharlal Nehru","world history",3.02,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Walden","Henry David Thoreau","poetry",NA,3.99,33,1854,"rus",2025-11-01 09:00:00,1
"iTunes Store","The Case of the Girl in Grey (The Wollstonecraft Detective Agency, Book 2)","Jordan Stratford & Kelly Murphy","childrens fiction",6.89,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","GED Test Prep Social Studies 2: World History Review--Exambusters Flash Cards--Workbook 13 of 13","GED Exambusters","world history",4.05,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","A Mind That Found Itself","Clifford Whittingham Beers","biography",NA,3.97,6,1908,"ger",2025-11-01 09:00:00,1
"iTunes Store","Beating Addiction: A Self-Help Guide","Luke Vandenberg","self help",5.04,3.06,6,NA,NA,2025-11-01 09:00:00,1
"Open Library","Works (Carrie / Night Shift / 'Salem's Lot / Shining)","Stephen King","sports",NA,4.77,22,1981,"eng",2025-11-01 09:00:00,1
"iTunes Store","You Can't Sit With Us","Nancy Rue","childrens fiction",7.97,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","How to live on 24 hours a day","Arnold Bennett","self_help",NA,3.76,5,1900,"eng",2025-11-01 09:00:00,1
"Open Library","A Murder Is Announced","Agatha Christie","mystery",NA,4.13,22,1950,"fre",2025-11-01 09:00:00,1
"Open Library","And Then There Were None","Agatha Christie","thriller",NA,4.16,164,1939,"por",2025-11-01 09:00:00,1
"Open Library","Le fantôme de l'opéra","Gaston Leroux","horror",NA,3.92,39,1911,"jpn",2025-11-01 09:00:00,1
"Open Library","Ramayana, a Holy Bible of India","Vālmīki","poetry",NA,4.19,17,1823,"mal",2025-11-01 09:00:00,1
"iTunes Store","Game Changer","Rachel Reid","romance novel",10.49,4.62,2397,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Name Game","Beth O'Leary","romance novel",10.84,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Daisy Miller","Henry James","historical_fiction",NA,2.99,4,1877,"eng",2025-11-01 09:00:00,1
"Open Library","Πολιτικά (Politiká)","Aristotle","poetry",NA,3.64,15,1492,"grc",2025-11-01 09:00:00,1
"iTunes Store","Cold Case True Crime","Margaret Snead","true crime",3.85,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Year's Best Science Fiction: Twelfth Annual Collection","Gardner Dozois","science fiction",14.62,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Pokémon Poetry","Logan Zeman","poetry",0,3.58,44,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Time Travel Romance - Medieval Love: Reunited by Dagger Heart Spell","Nina Moon","travel",0,3.53,74,NA,NA,2025-11-01 09:00:00,1
"Open Library","Tintenherz","Cornelia Funke","art",NA,4,51,2003,"rum",2025-11-01 09:00:00,1
"Open Library","The Complete Sherlock Holmes [4 novels, 56 stories]","Arthur Conan Doyle","mystery",NA,4.62,46,1900,"por",2025-11-01 09:00:00,1
"Open Library","Le fantôme de l'opéra","Gaston Leroux","thriller",NA,3.96,39,1911,"jpn",2025-11-01 09:00:00,1
"Open Library","The Client","John Grisham","thriller",NA,3.47,29,1993,"rus",2025-11-01 09:00:00,1
"Open Library","Flatland","Edwin Abbott Abbott","fantasy",NA,3.9,98,1884,"por",2025-11-01 09:00:00,1
"iTunes Store","Golf Psychology: When Positive Thinking Doesn't Work","Jonathan Adler","psychology",8.18,4.55,15,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Basque History of the World","Mark Kurlansky","world history",9.55,3.89,8,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Attatchment in Psychology Volume 1","Joyce","psychology",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Colorado Travel Guide","Lonely Planet","travel",16.44,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Devil's Soldier: A Paranormal Vampire Romance Novel","Raven Steele","romance novel",5.08,4.54,43,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Spy Who Came in from the Cold","John le Carré","thriller",NA,4.19,45,1602,"fre",2025-11-01 09:00:00,1
"iTunes Store","Iran in World History","Richard Foltz","world history",29.9,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","She","H. Rider Haggard","romance",NA,3.81,6,1886,"pol",2025-11-01 09:00:00,1
"iTunes Store","Silent Girl (A Sheila Stone Suspense Thriller—Book One)","Blake Pierce","mystery thriller",0,3.89,872,NA,NA,2025-11-01 09:00:00,1
"Open Library","Semilla del Diablo","Ira Levin","horror",NA,3.91,22,1900,"heb",2025-11-01 09:00:00,1
"iTunes Store","The Children's Bach","Helen Garner","childrens fiction",4.83,3.54,7,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Yellow Wallpaper","Charlotte Perkins Gilman","psychology",NA,4.18,67,1892,"ger",2025-11-01 09:00:00,1
"iTunes Store","Modern World History","Betsy Goetschius & Rich Donnelly","world history",0,2.46,5,NA,NA,2025-11-01 09:00:00,1
"Google Books","Something Red","Douglas Nicholas","Fiction",NA,NA,NA,2012,"en",2025-11-01 09:00:00,1
"Open Library","Management information systems","Kenneth C. Laudon","business",NA,4.16,10,1945,"eng",2025-11-01 09:00:00,1
"iTunes Store","Design Star","Michael Gaffney","art design",14.97,5,7,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","50 Great Myths of Popular Psychology","Scott O. Lilienfeld, Steven Jay Lynn, John Ruscio & Barry L. Beyerstein","psychology",26.51,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Changeling- A Jade Ihara Adventure","David Wood & Sean Ellis","adventure",3.8,4.62,20,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Lady Alexandra's Excellent Adventure","Sophie Barnes","adventure",1.98,4.57,84,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Serial Killers True Crime: 10 In Depth True Stories Of Some Of The Most Savage Serial Killers And Criminals In History","Brody Clayton","true crime",0,3.91,96,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Invisible Man","H. G. Wells","fiction",NA,3.78,106,0,"por",2025-11-01 09:00:00,1
"iTunes Store","World History: Cultures, States, and Societies to 1500","Eugene Berger, George Israel, Charlotte Miller, Brian Parkinson, Andrew Reeves & Nadejda Williams","world history",2.95,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Ascending: An Epic Fantasy Dragon Adventure","Jenna Elizabeth Johnson","adventure",7.94,4.63,80,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","If She Knew (A Kate Wise Mystery—Book 1)","Blake Pierce","mystery thriller",0,4.47,7281,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","BRITISH MYSTERIES Boxed Set: 350+ Thriller Novels, Murder Mysteries & True Crime Stories","Agatha Christie, Edgar Wallace, Arthur Conan Doyle, Wilkie Collins, R. Austin Freeman, H. C. McNeile, G. K. Chesterton, Arthur Morrison, Ernest Bramah, Victor L. Whitechurch, Thomas W. Hanshew, E. W. Hornung, J. S. Fletcher, Rober Barr, Frank Froest, C. N. Williamson, A. M. Williamson & Isabel Ostander","true crime",1,3.44,7,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Prophet","Kahlil Gibran","poetry",NA,4.37,56,1900,"yid",2025-11-01 09:00:00,1
"iTunes Store","My Highland Warrior: A Scottish Highlander Historical Romance Novel","Miriam Minger","romance novel",0,4.62,1423,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Change by Design, Revised and Updated","Tim Brown","art design",18.83,4.04,15,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Magician's Nephew","C. S. Lewis","children",NA,4.12,106,1955,"ice",2025-11-01 09:00:00,1
"iTunes Store","Ollie's Big Adventure","Maggie Testa","adventure",NA,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Optimization in Economics and Finance","Bruce D. Craven & Sardar M. N. Islam","business finance",167.56,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Advanced System Design Interview Tips","Coding Horror","horror fiction",0,3.41,6,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","100 Self-Help Journal Prompts","Francie Brunswick","self help",0.98,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Google Books","The Playroom","Gloria Murphy","Fiction",NA,NA,NA,1987,"en",2025-11-01 09:00:00,1
"Open Library","Lord Jim","Joseph Conrad","biography",NA,3.74,14,1900,"chi",2025-11-01 09:00:00,1
"iTunes Store","The Year's Best Science Fiction: Sixth Annual Collection","Gardner Dozois","science fiction",14.29,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Best American Sports Writing 2016","Rick Telander","sports outdoors",2.92,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Macroeconomics: International Trade & Finance","Dr. Mary J. McGlasson","business finance",1.9,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Sonnets","William Shakespeare","biography",NA,4.18,12,1609,"yid",2025-11-01 09:00:00,1
"iTunes Store","The City of Brass","S.A. Chakraborty","fantasy",2,4.44,711,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Wyndham Lewis: An Exhibition Within the Fine Art, Design & Antiques Fair Olympia London 1-6 March 2005.","Apollo","art design",6.29,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Last Man","Mary Shelley","fiction",NA,3.54,8,1826,"ger",2025-11-01 09:00:00,1
"iTunes Store","Art, Research, Philosophy","Clive Cazeaux","philosophy",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Big Sleep","Raymond Chandler","mystery",NA,3.96,20,1939,"fre",2025-11-01 09:00:00,1
"Open Library","Improve Your Communication Skills","Alan Barker","self_help",NA,4.09,3,2010,"eng",2025-11-01 09:00:00,1
"iTunes Store","A Prince on the Run, The Casteloria Royals","Kristy K. James","romance novel",0,4.41,86,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Horror","Darryl Jones","horror fiction",8.06,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Five Children and It","Edith Nesbit","history",NA,3.92,7,1905,"heb",2025-11-01 09:00:00,1
"Open Library","Howards End","E. M. Forster","historical_fiction",NA,4.35,9,1910,"ger",2025-11-01 09:00:00,1
"iTunes Store","Paris Travel Guide","Lonely Planet","travel",15.67,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Les fleurs du mal","Charles Baudelaire","poetry",NA,4.22,13,1855,"por",2025-11-01 09:00:00,1
"iTunes Store","The Idiot Girls' Action-Adventure Club","Laurie Notaro","adventure",12.12,4.03,45,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Daughters of the Sun and Moon","Lisa See","historical fiction",NA,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Économie internationale","Paul R. Krugman","business",NA,4.32,5,1987,"fre",2025-11-01 09:00:00,1
"Google Books","Motivation and Emotion in Sport","John H. Kerr","Psychology",NA,NA,NA,1997,"en",2025-11-01 09:00:00,1
"iTunes Store","Edgar Allan Poe's Complete Poetical Works","Edgar Allan Poe","poetry",0,4.05,734,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Psychology: A Complete Introduction","Sandi Mann","psychology",4.19,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","It Can't Happen Here","Sinclair Lewis","fiction",NA,3.67,19,1935,"rus",2025-11-01 09:00:00,1
"iTunes Store","DINOSAURS' ADVENTURE","YERIN","adventure",0,2.46,15,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Club of Queer Trades","Gilbert Keith Chesterton","historical_fiction",NA,3.19,13,1900,"spa",2025-11-01 09:00:00,1
"iTunes Store","The Horror","Rodman Philbrick & Lynn Harnett","horror fiction",6.15,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Philosophy for the Masses: Metaphysics and More","David Bruce","philosophy",0,4.4,30,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Thirty-Nine Steps","John Buchan","thriller",NA,3.83,24,1915,"spa",2025-11-01 09:00:00,1
"iTunes Store","The Art of War","Sun Tzu & Philip Dossick","art design",2.88,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Science Fiction, Fantasy, & Horror Collection Volume 1","Kristie Lynn Higgins","horror fiction",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Mysterious Affair at Styles","Agatha Christie","thriller",NA,3.97,84,1920,"por",2025-11-01 09:00:00,1
"Open Library","Darkest fear","Harlan Coben","sports",NA,3.63,3,2000,"heb",2025-11-01 09:00:00,1
"Google Books","Screened Out","Jean Baudrillard","History",NA,NA,NA,2002,"en",2025-11-01 09:00:00,1
"iTunes Store","Art and Islamic Architecture","Sayyid Rami al Rifai","art design",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","A Connecticut Yankee in King Arthur's Court","Mark Twain","travel",NA,3.79,15,1889,"rus",2025-11-01 09:00:00,1
"Open Library","The Elements of Style","William Strunk, Jr.","art",NA,3.7,16,1920,"eng",2025-11-01 09:00:00,1
"Open Library","Sonnets","William Shakespeare","poetry",NA,4.05,12,1609,"yid",2025-11-01 09:00:00,1
"Open Library","Physics","Aristotle","philosophy",NA,3.67,19,1472,"eng",2025-11-01 09:00:00,1
"Open Library","The Law of Success","Napoleon Hill","self_help",NA,4.45,8,1969,"eng",2025-11-01 09:00:00,1
"Open Library","Exercitia spiritualia","Saint Ignatius of Loyola","biography",NA,5,1,1548,"mul",2025-11-01 09:00:00,1
"iTunes Store","A Magical Adventure","Nicole Beyer","adventure",0,3.58,12,NA,NA,2025-11-01 09:00:00,1
"Open Library","Roald Dahl's Revolting Recipes","Josie Fison","cookbook",NA,3.38,5,1994,"wel",2025-11-01 09:00:00,1
"iTunes Store","Coaching Basketball For Dummies","The National Alliance For Youth Sports & Greg Bach","sports outdoors",15.3,3.98,6,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Enchanted Castle","Edith Nesbit","fantasy",NA,4.15,11,1907,"spa",2025-11-01 09:00:00,1
"Open Library","Bleachers","John Grisham","sports",NA,3.76,3,2003,"pol",2025-11-01 09:00:00,1
"iTunes Store","Cognitive Psychology For Dummies","Peter J. Hills & Michael Pake","psychology",16.52,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Prince","Niccolò Machiavelli","biography",NA,3.88,106,1515,"rum",2025-11-01 09:00:00,1
"Open Library","The Little House Cookbook","Barbara M. Walker","cookbook",NA,NA,NA,1979,"eng",2025-11-01 09:00:00,1
"iTunes Store","Raising Capital for Real Estate: How to Create Passive Income from Home and Captivate Investors, Provide Credibility and Finance Projects- A Beginner's Guide","Edward Day","business finance",3.01,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Google Books","Lyrical Ballads, and Other Poems, 1797-1800","William Wordsworth","History",NA,NA,NA,1992,"en",2025-11-01 09:00:00,1
"iTunes Store","The Torture Chamber: A True Crime Story of Unyielding Abuse","Ameera Johnson","true crime",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Power and Conflict Poetry","Geoffrey Kirby, Lauren Woodford, Beth Merrick & Jasmine Grainger","poetry",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Raven","Edgar Allan Poe","fantasy",NA,4.6,58,1845,"heb",2025-11-01 09:00:00,1
"iTunes Store","The Flowered Thundermug: A Science Fiction Comedy","Alfred Bester","science fiction",1.01,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Tryst Six Venom","Penelope Douglas","sports",NA,NA,NA,2021,"eng",2025-11-01 09:00:00,1
"Open Library","Artemis Fowl","Eoin Colfer","travel",NA,3.77,57,1999,"por",2025-11-01 09:00:00,1
"Open Library","A Midsummer Night's Dream","William Shakespeare","travel",NA,3.89,104,1600,"fre",2025-11-01 09:00:00,1
"iTunes Store","Don’t Look (A Taylor Sage FBI Suspense Thriller—Book 1)","Molly Black","mystery thriller",0,4.45,1597,NA,NA,2025-11-01 09:00:00,1
"Open Library","Homage to Catalonia","George Orwell","history",NA,4.28,26,1938,"ger",2025-11-01 09:00:00,1
"iTunes Store","Lula Dean's Little Library of Banned Books","Kirsten Miller","childrens fiction",15.02,4.57,314,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Preacher Creature Strikes on Sunday","Mike Thaler","childrens fiction",1.96,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Peanuts cook book","Charles M. Schulz","cookbook",NA,NA,NA,1969,"eng",2025-11-01 09:00:00,1
"Open Library","Henry Moore","David Sylvester","art",NA,4.36,18,1934,"por",2025-11-01 09:00:00,1
"Open Library","The Razor's Edge","William Somerset Maugham","history",NA,3.97,23,1944,"chi",2025-11-01 09:00:00,1
"Open Library","Real","Katy Evans","sports",NA,4.06,3,2013,"eng",2025-11-01 09:00:00,1
"Open Library","Game Changer","Rachel Reid","sports",NA,3.93,3,2018,"fre",2025-11-01 09:00:00,1
"Open Library","Anne of Avonlea","Lucy Maud Montgomery","children",NA,4.27,28,1909,"pol",2025-11-01 09:00:00,1
"iTunes Store","Philosophy of love","Adrian Gabriel Dumitru","philosophy",0,4.03,11,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Legend of Sleepy Hollow","Washington Irving","horror",NA,4.08,24,1820,"gre",2025-11-01 09:00:00,1
"Open Library","Das Schloß","Franz Kafka","biography",NA,4.44,23,1926,"ger",2025-11-01 09:00:00,1
"Open Library","A Little Princess","Frances Hodgson Burnett","fiction",NA,4.16,19,1905,"eng",2025-11-01 09:00:00,1
"iTunes Store","The Angels' Lament: Etched in Granite Historical Fiction Series - Book Two","Mj Pettengill","historical fiction",8.2,4.03,5,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Cold Case True Crime","Margaret Snead","true crime",3.1,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Devil: A Paranormal Vampire Romance Novel","Raven Steele","romance novel",5.06,4.39,31,NA,NA,2025-11-01 09:00:00,1
"Google Books","Phenomenology of Spirit","Georg Wilhelm Friedrich Hegel","Philosophy",NA,4.11,9,1998,"en",2025-11-01 09:00:00,1
"Open Library","Moralia","Plutarch","biography",NA,4.15,15,1500,"heb",2025-11-01 09:00:00,1
"Open Library","Robinson Crusoe","Daniel Defoe","art",NA,3.86,25,1686,"yid",2025-11-01 09:00:00,1
"Open Library","À rebours","Joris-Karl Huysmans","art",NA,4.29,10,1884,"ger",2025-11-01 09:00:00,1
"iTunes Store","Revenge Prey","John Sandford","mystery thriller",13.62,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Book of Dragons","Edith Nesbit","fiction",NA,3.89,14,1973,"spa",2025-11-01 09:00:00,1
"Open Library","Poema de mio Cid","Anonymous","poetry",NA,3.51,4,1868,"por",2025-11-01 09:00:00,1
"iTunes Store","Malaysia Travel Guide","Wolfgang Sladkowski & Wanirat Chanapote","travel",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Contender","Robert Lipsyte","sports",NA,4.43,2,1967,"eng",2025-11-01 09:00:00,1
"iTunes Store","BOX FULL OF SOUND. Six String Electro Acoustic Box Guitars. Art, Design, and Sound. 14 Posters. Special Edition.","only DC","art design",14.14,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Poems","Alfred Lord Tennyson","poetry",NA,3.3,5,1827,"eng",2025-11-01 09:00:00,1
"iTunes Store","The Psychology of Procrastination","Hayden Finch","psychology",10.48,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Cooking Light Everyday Baking","Editors of Cooking Light Magazine","cooking",12.93,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Women in Love","D. H. Lawrence","fantasy",NA,3.67,19,1877,"por",2025-11-01 09:00:00,1
"Open Library","The Art of War","孙武","self_help",NA,4.13,157,1900,"fre",2025-11-01 09:00:00,1
"Google Books","Fantastic Cinema Subject Guide","Bryan Senn, John Johnson","Performing Arts",NA,NA,NA,1992,"en",2025-11-01 09:00:00,1
